Rank,adm1_psgc,Region,Total Population,Land Area (Square Kilometer),Population Density (Persons Per Square Kilometer of Land)
1,1300000000,National Capital Region (NCR),13484462,619.54,21765
2,400000000,Region IV-A (CALABARZON)	,16185042,16576.26,977
3,300000000,Region III (Central Luzon)	,12422172,21906.19,567
4,700000000,Region VII (Central Visayas),8081988,15872.58,509
5,100000000,Region I (Ilocos Region)	,5301139,12964.62,409
6,600000000,Region VI (Western Visayas),7954723,20778.29,383
7,500000000,Region V (Bicol Region),6082165,18114.47,336
8,1100000000,Region XI (Davao Region)	,5243536,20443.48,257
9,1000000000,Region X (Northern Mindanao)	,5022768,20458.51,246
10,900000000,Region IX (Zamboanga Peninsula)	,3875576,16904.03,229
11,1200000000,Region XII (SOCCSKSARGEN)	,4901486,22786.08,215
12,200000000,Region II (Cagayan Valley)	,3685744,29836.88,124
13,800000000,Region VIII (Eastern Visayas),4547150,23234.78,196
14,1600000000,Region XIII (Caraga)	,2804788,21120.56,133
15,1900000000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),4404288,36650.95,120
16,1700000000,MIMAROPA Region,3228558,29606.25,109
17,1400000000,Cordillera Administrative Region (CAR)	,1797660,19818.12,91